candidate_id,skills,experience_years,job_role,shortlisted
C00001,"Kubernetes, Linux, Docker",5.0,DevOps Engineer,1
C00002,"TensorFlow, Statistics, Pandas",2.3,Data Scientist,1
C00003,"Pandas, TensorFlow, SQL, Statistics, Machine Learning",1.9,Data Scientist,0
C00004,"Machine Learning, Pandas, Statistics, TensorFlow",1.1,Data Scientist,0
C00005,"SQL, Microservices",9.2,Backend Developer,0
C00006,"CI/CD, Kubernetes, Terraform, AWS, Linux",1.9,DevOps Engineer,0
C00007,"SQL, Python",6.4,Data Scientist,0
C00008,"SQL, Microservices",3.5,Backend Developer,0
C00009,"Flutter, React Native, Swift",6.8,Mobile Developer,1
C00010,"Docker, REST",8.9,Backend Developer,0
C00011,"TypeScript, CSS, React, Redux, JavaScript",6.7,Frontend Developer,1
C00012,"Spring, Microservices, Java, REST",3.0,Backend Developer,1
C00013,"Swift, Kotlin, Flutter",4.7,Mobile Developer,1
C00014,"Spring, REST, Microservices, Java",6.7,Backend Developer,1
C00015,"SQL, Docker, Microservices",5.4,Backend Developer,1
C00016,"Pandas, Python",5.0,Data Scientist,0
C00017,"AWS, Kubernetes, Docker, CI/CD, Terraform",5.2,DevOps Engineer,1
C00018,"Spring, Java, REST",1.7,Backend Developer,0
C00019,"Docker, Kubernetes, AWS, Linux, CI/CD",9.0,DevOps Engineer,1
C00020,"React, TypeScript, CSS",1.9,Frontend Developer,0
C00021,"TypeScript, CSS, Redux, JavaScript",8.6,Frontend Developer,1
C00022,"AWS, Terraform, Linux",3.9,DevOps Engineer,1
C00023,"Microservices, Docker, SQL, REST, Java",5.6,Backend Developer,1
C00024,"REST, Spring",5.3,Backend Developer,0
C00025,"Redux, TypeScript, CSS, HTML",2.7,Frontend Developer,1
C00026,"Flutter, Firebase, Dart",6.8,Mobile Developer,1
C00027,"JavaScript, Redux, TypeScript, CSS, HTML",5.3,Frontend Developer,1
C00028,"AWS, Linux",3.1,DevOps Engineer,0
C00029,"TypeScript, CSS, JavaScript, React, HTML",7.7,Frontend Developer,1
C00030,"Python, TensorFlow",9.7,Data Scientist,0
C00031,"Linux, Kubernetes, Terraform",3.8,DevOps Engineer,1
C00032,"Terraform, AWS, Linux, CI/CD, Kubernetes",4.8,DevOps Engineer,1
C00033,"Linux, Docker",5.0,DevOps Engineer,0
C00034,"Spring, REST, Java, SQL",9.5,Backend Developer,1
C00035,"Java, REST",1.0,Backend Developer,0
C00036,"CI/CD, AWS, Kubernetes",0.8,DevOps Engineer,0
C00037,"Terraform, Kubernetes, Docker, AWS",8.9,DevOps Engineer,1
C00038,"Machine Learning, SQL, TensorFlow, Python",9.4,Data Scientist,1
C00039,"HTML, React, TypeScript",1.0,Frontend Developer,0
C00040,"Pandas, Machine Learning, SQL",8.7,Data Scientist,1
C00041,"Docker, CI/CD, AWS, Linux",7.7,DevOps Engineer,1
C00042,"JavaScript, CSS",6.8,Frontend Developer,0
C00043,"Java, REST, Microservices, Spring, SQL",1.9,Backend Developer,0
C00044,"AWS, Linux, Docker, CI/CD, Terraform",3.2,DevOps Engineer,1
C00045,"Python, TensorFlow, Machine Learning, SQL",7.4,Data Scientist,1
C00046,"SQL, Docker, Spring, REST",7.4,Backend Developer,1
C00047,"Kubernetes, CI/CD, Terraform, AWS",6.3,DevOps Engineer,1
C00048,"TypeScript, Redux, JavaScript, HTML",4.3,Frontend Developer,1
C00049,"SQL, Docker, Spring",9.9,Backend Developer,1
C00050,"SQL, Microservices, Spring, Docker",4.8,Backend Developer,1
C00051,"SQL, Statistics",6.5,Data Scientist,0
C00052,"CI/CD, Linux, Kubernetes, Docker, Terraform",8.4,DevOps Engineer,1
C00053,"Kubernetes, AWS, CI/CD, Docker, Terraform",1.3,DevOps Engineer,0
C00054,"Redux, React, TypeScript, HTML",6.9,Frontend Developer,1
C00055,"Statistics, Python, Pandas, SQL, Machine Learning",8.3,Data Scientist,1
C00056,"Kubernetes, CI/CD, Linux, Terraform",6.9,DevOps Engineer,1
C00057,"Terraform, Kubernetes, Linux, Docker",8.5,DevOps Engineer,1
C00058,"HTML, Redux, TypeScript",4.3,Frontend Developer,1
C00059,"Dart, Firebase, Flutter, Swift, Kotlin",8.4,Mobile Developer,1
C00060,"Docker, AWS, CI/CD, Linux, Kubernetes",4.7,DevOps Engineer,1
C00061,"Microservices, Docker, SQL, Spring",8.4,Backend Developer,1
C00062,"Dart, React Native, Flutter, Firebase",2.7,Mobile Developer,1
C00063,"CSS, HTML",0.7,Frontend Developer,0
C00064,"SQL, Python, Statistics, Pandas",3.2,Data Scientist,1
C00065,"Swift, React Native, Dart",1.2,Mobile Developer,0
C00066,"Microservices, Docker, Spring, Java",3.1,Backend Developer,1
C00067,"TypeScript, CSS, React",5.2,Frontend Developer,1
C00068,"React Native, Firebase",0.6,Mobile Developer,0
C00069,"Terraform, Kubernetes",5.0,DevOps Engineer,0
C00070,"Linux, Kubernetes, CI/CD, Docker",6.0,DevOps Engineer,1
C00071,"Statistics, Machine Learning, Pandas",2.9,Data Scientist,1
C00072,"React, TypeScript, Redux, HTML, JavaScript",2.2,Frontend Developer,1
C00073,"Redux, TypeScript, CSS",0.6,Frontend Developer,0
C00074,"HTML, JavaScript, React",1.1,Frontend Developer,0
C00075,"Flutter, Firebase",0.5,Mobile Developer,0
C00076,"SQL, REST",4.7,Backend Developer,0
C00077,"Machine Learning, Pandas",4.7,Data Scientist,0
C00078,"Pandas, Machine Learning, TensorFlow, Python",8.0,Data Scientist,1
C00079,"React Native, Dart, Firebase, Flutter, Swift",2.5,Mobile Developer,1
C00080,"Java, REST, SQL, Microservices",8.4,Backend Developer,1
C00081,"JavaScript, HTML, TypeScript, Redux, CSS",4.1,Frontend Developer,1
C00082,"Kubernetes, AWS, Docker, Terraform, Linux",5.6,DevOps Engineer,1
C00083,"HTML, JavaScript, Redux, React",4.1,Frontend Developer,1
C00084,"AWS, CI/CD, Linux",2.4,DevOps Engineer,1
C00085,"SQL, Microservices, Spring",8.2,Backend Developer,1
C00086,"Docker, REST",2.9,Backend Developer,0
C00087,"AWS, Terraform",6.3,DevOps Engineer,0
C00088,"Python, TensorFlow, Pandas, Machine Learning",7.3,Data Scientist,1
C00089,"Docker, SQL, Spring, REST, Java",0.8,Backend Developer,0
C00090,"Linux, Terraform, CI/CD, Docker, AWS",7.5,DevOps Engineer,1
C00091,"Firebase, Kotlin, Swift, Dart, React Native",3.2,Mobile Developer,1
C00092,"Firebase, Dart, Flutter, Swift",7.6,Mobile Developer,1
C00093,"AWS, Docker, CI/CD, Linux",1.2,DevOps Engineer,0
